type,name,equation
s,Jaccard,"\frac{a}{a+b+c}"
s,Dice;Czekanowski;Nei-Li,"\frac{2a}{2a+b+c}"
s,3W-Jaccard,"\frac{3a}{3a+b+c}"
s,Sokal-Sneath-I,"\frac{a}{a+2b+2c}"
s,Sokal-Michener,"\frac{a+d}{a+b+c+d}"
s,Sokal-Sneath-II,"\frac{2a+2d}{2a+b+c+2d}"
s,Roger-Tanimoto,"\frac{a+d}{a+2b+2c+d}"
s,Faith,"\frac{a+0.5d}{a+b+c+d}"
s,Gower-Legendre,"\frac{a+d}{a+0.5b+0.5c+d}"
s,Intersection,"a"
s,Inner Product,"a+d"
s,Russell-Rao,"\frac{a}{a+b+c+d}"
s,Cosine,"\frac{a}{(a+b)(a+c)}"
s,Gilbert-Wells,"\log a - \log p - \log \frac{a+b}{p} - \log \frac{a+c}{p}"
s,Ochiai-I;Otsuka,"\frac{a}{\sqrt{(a+b)(a+c)}}"
s,Forbesi,"\frac{pa}{(a+b)(a+c)}"
s,Fossum,"\frac{n(a-0.5)^2}{(a+b)(a+c)}"
s,Sorgenfrei,"\frac{a^2}{(a+b)(a+c)}"
s,Mountford,"\frac{a}{0.5(ab + ac) + bc}"
s,McConnaughey,"\frac{a^2 - bc}{(a+b)(a+c)}"
s,Tarwid,"\frac{na - (a+b)(a+c)}{na + (a+b)(a+c)}"
s,Kulczynski-II,"\frac{0.5a(2a+b+c)}{(a+b)(a+c)}"
s,Driver-Kroeber,"\frac{a}{2}\left(\frac{1}{a+b}+\frac{1}{a+c}\right)"
s,Johnson,"\frac{a}{a+b}+\frac{a}{a+c}"
s,Dennis,"\frac{ad-bc}{\sqrt{n(a+b)(a+c)}}"
s,Simpson,"\frac{a}{\min(a+b,a+c)}"
s,Braun-Banquet,"\frac{a}{\max(a+b,a+c)}"
s,Fager-McGowan,"\frac{a}{\sqrt{(a+b)(a+c)}}-\frac{max(a+b,a+c)}{2}"
s,Forbes-II,"\frac{na-(a+b)(a+c)}{n \min(a+b,a+c) - (a+b)(a+c)}"
s,Sokal-Sneath-IV,"\frac{1}{4}\left(\frac{a}{a+b}+\frac{a}{a+c}+\frac{d}{b+d}+\frac{d}{b+d}\right)"
s,Gower,"\frac{a+d}{\sqrt{(a+b)(a+c)(b+d)(c+d)}}"
s,Pearson-I,"\chi^2=\frac{n(ad-bc)^2}{(a+b)(a+c)(c+d)(b+d)}"
s,Pearson-II,"\sqrt{\frac{\chi^2}{n+\chi^2}}"
s,Pearson-II,"\sqrt{\frac{\rho}{n+\rho}}; \rho=\frac{ad-bc}{\sqrt{(a+b)(a+c)(b+d)(c+d)}}"
s,Pearson-Heron-I,"\frac{ad-bc}{\sqrt{(a+b)(a+c)(b+d)(c+d)}}"
s,Pearson-Heron-II,"\cos\left(\frac{\pi \sqrt{bc}}{\sqrt{ad}+\sqrt{bc}}\right)"
s,Sokal-Sneath-III,"\frac{a+d}{b+c}"
s,Sokal-Sneath-V,"\frac{ad}{(a+b)(a+c)(b+d)\sqrt{c+d}}"
s,Cole,"\frac{\sqrt{2}(ad-bc)}{\sqrt{(ad-bc)^2-(a+b)(a+c)(b+d)(c+d)}}"
s,Stiles,"\log_{10} \frac{n\left(|ad-bc|-\frac{n}{2}\right)^2}{(a+b)(a+c)(b+d)(c+d)}"
s,Ochiai-II,"\frac{ad}{\sqrt{(a+b)(a+c)(b+d)(c+d)}}"
s,Yule-Q,"\frac{ad-bc}{ad+bc}"
s,Yule-w,"\frac{\sqrt{ad}-\sqrt{bc}}{\sqrt{ad}+\sqrt{bc}}"
s,Kulczynski-I,"\frac{a}{b+c}"
s,Tanimoto,"\frac{a}{2a+b+c}"
s,Disperson,"\frac{ad-bc}{(a+b+c+d)^2}"
s,Hamann,"\frac{(a+d)-(b+c)}{a+b+c+d}"
s,Micahel,"\frac{4(ad-bc)}{(a+d)^2+(b+c)^2}"
s,Goodman-Kruskal,"\frac{\sigma - \sigma'}{2n-\sigma'}; \sigma=\max(a,b)+\max(c,d)+\max(a,c)+\max(b,d); \sigma'=\max(a+c,b+d)+\max(a+b,c+d)"
s,Anderberg,"\frac{\sigma-\sigma'}{2n}"
s,Baroni-Urbani-Buser-I,"\frac{\sqrt{ad}+a}{\sqrt{ad}+a+b+c}"
s,Baroni-Urbani-Buser-II,"\frac{\sqrt{ad}+a-(b+c)}{\sqrt{ad}+a+b+c}"
s,Peirce,"\frac{ab+bc}{ab+2bc+cd}"
s,Eyraud,"\frac{n^2(na-(a+b)(a+c))}{(a+b)(a+c)(b+d)(c+d)}"
s,Trantuala,"\frac{a(c+d)}{c(a+b)}"
s,Ample,"\left|\frac{a(c+d)}{c(a+b)}\right|"
d,Hamming;Canberra;Manhattan;Cityblock;Minkowski,"b+c"
d,Euclid,"\sqrt{b+c}"
d,Squared-Euclid,"\sqrt{(b+c)^2}"
d,Mean-Manhattan,"\frac{b+c}{a+b+c+d}"
d,Vari,"\frac{b+c}{4a+4b+4c+4d}"
d,Size Difference,"\frac{(b+c)^2}{(a+b+c+d)^2}"
d,Shape Difference,"\frac{n(b+c)-(b-c)^2}{(a+b+c+d)^2}"
d,Pattern Difference,"\frac{4bc}{(a+b+c+d)^2}"
d,Lance-Williams;Bray-Curtis,"\frac{b+c}{2a+b+c}"
d,Hellinger,"2\sqrt{1 - \frac{a}{\sqrt{(a+b)(a+c)}}}"
d,Chord,"\sqrt{2\left(1 - \frac{a}{\sqrt{(a+b)(a+c)}}\right)}"
d,Yule-Q,"\frac{2bc}{ad+bc}"